# 6-DOF UR5 robot arm csv file for V-REP animation.
# All lines beginning with # are treated as a comment and ignored.
# Each line below is of the form
# jt1ang, jt2ang, jt3ang, jt4ang, jt5ang, jt6ang
# where each joint angle is expressed in radians.
-3.462204,0.437029,-1.608672,1.432617,-0.488365,-1.974716
-3.469279,0.443067,-1.613047,1.423007,-0.48941,-1.961725
-3.476583,0.449261,-1.617524,1.413058,-0.490552,-1.948334
-3.484091,0.455586,-1.622082,1.402804,-0.491793,-1.934595
-3.491777,0.462015,-1.626699,1.392283,-0.493135,-1.920565
-3.499609,0.46852,-1.631354,1.38154,-0.494575,-1.906305
-3.507556,0.475072,-1.636023,1.370618,-0.496114,-1.89188
-3.515583,0.48164,-1.640681,1.359568,-0.497747,-1.877357
-3.523657,0.488195,-1.645307,1.348439,-0.499468,-1.862804
-3.531742,0.494707,-1.649878,1.337284,-0.501273,-1.84829
-3.539803,0.501148,-1.654371,1.326153,-0.503152,-1.833882
-3.547805,0.50749,-1.658767,1.315099,-0.505097,-1.819647
-3.555714,0.513707,-1.663047,1.304171,-0.507096,-1.805645
-3.563498,0.519776,-1.667195,1.293416,-0.509139,-1.791936
-3.571126,0.525675,-1.671197,1.28288,-0.511212,-1.778573
-3.578571,0.531385,-1.67504,1.272603,-0.513305,-1.765603
-3.585806,0.536889,-1.678715,1.262621,-0.515403,-1.753067
-3.59281,0.542174,-1.682215,1.252968,-0.517494,-1.741001
-3.599563,0.54723,-1.685535,1.243671,-0.519567,-1.729434
-3.606049,0.552048,-1.688673,1.234752,-0.521609,-1.718387
-3.612254,0.556623,-1.691627,1.226229,-0.52361,-1.707877
-3.61817,0.560952,-1.694398,1.218116,-0.52556,-1.697913
-3.623789,0.565034,-1.69699,1.210419,-0.527451,-1.688499
-3.629109,0.568872,-1.699407,1.203144,-0.529276,-1.679634
-3.634128,0.572469,-1.701654,1.19629,-0.531027,-1.671313
-3.638848,0.575831,-1.703737,1.189854,-0.532702,-1.663525
-3.643273,0.578964,-1.705664,1.183827,-0.534295,-1.656258
-3.647411,0.581876,-1.707441,1.178201,-0.535805,-1.649493
-3.651268,0.584576,-1.709078,1.172962,-0.537231,-1.643213
-3.654855,0.587074,-1.710582,1.168098,-0.538572,-1.637397
-3.658182,0.58938,-1.711962,1.163591,-0.539829,-1.632022
-3.661261,0.591504,-1.713225,1.159425,-0.541003,-1.627065
-3.664105,0.593457,-1.71438,1.155583,-0.542097,-1.622503
-3.666725,0.59525,-1.715435,1.152046,-0.543113,-1.618311
-3.669135,0.596894,-1.716396,1.148795,-0.544055,-1.614467
-3.671349,0.598398,-1.717273,1.145812,-0.544925,-1.610945
-3.673378,0.599772,-1.71807,1.14308,-0.545728,-1.607724
-3.675237,0.601027,-1.718795,1.14058,-0.546468,-1.604781
-3.676936,0.602172,-1.719453,1.138296,-0.547147,-1.602096
-3.678489,0.603215,-1.720052,1.136211,-0.54777,-1.599647
-3.679905,0.604165,-1.720595,1.134309,-0.548342,-1.597417
-3.681197,0.605029,-1.721087,1.132576,-0.548864,-1.595386
-3.682374,0.605815,-1.721534,1.130998,-0.549342,-1.593538
-3.683445,0.60653,-1.721939,1.129562,-0.549779,-1.591858
-3.684421,0.607179,-1.722306,1.128255,-0.550177,-1.590331
-3.685308,0.607769,-1.722639,1.127067,-0.55054,-1.588943
-3.686115,0.608305,-1.722941,1.125987,-0.550871,-1.587682
-3.686849,0.608791,-1.723215,1.125004,-0.551173,-1.586536
-3.687517,0.609233,-1.723463,1.124112,-0.551448,-1.585495
-3.688124,0.609635,-1.723688,1.1233,-0.551698,-1.584549
-3.688675,0.609999,-1.723893,1.122563,-0.551926,-1.58369
-3.689177,0.610331,-1.724078,1.121892,-0.552134,-1.582909
-3.689633,0.610632,-1.724246,1.121283,-0.552323,-1.582199
-3.690048,0.610905,-1.724399,1.120728,-0.552495,-1.581554
-3.690425,0.611154,-1.724538,1.120224,-0.552652,-1.580968
-3.690768,0.61138,-1.724664,1.119766,-0.552794,-1.580435
-3.691081,0.611586,-1.724778,1.119349,-0.552924,-1.57995
-3.691365,0.611773,-1.724882,1.11897,-0.553042,-1.579509
-3.691623,0.611943,-1.724977,1.118624,-0.55315,-1.579108
-3.691859,0.612098,-1.725063,1.11831,-0.553248,-1.578742
-3.692073,0.612238,-1.725141,1.118024,-0.553337,-1.57841
-3.692268,0.612366,-1.725212,1.117764,-0.553419,-1.578108
-3.692445,0.612483,-1.725277,1.117527,-0.553493,-1.577833
-3.692607,0.612589,-1.725336,1.117312,-0.55356,-1.577583
-3.692753,0.612686,-1.725389,1.117116,-0.553622,-1.577355
-3.692887,0.612773,-1.725438,1.116938,-0.553677,-1.577148
-3.693008,0.612853,-1.725482,1.116775,-0.553728,-1.57696
-3.693119,0.612925,-1.725522,1.116628,-0.553774,-1.576789
